pedido_id,cod_cliente,product_id,quantidade,dt_pedido
PED0000102,464,PR0097,4,2026-08-08
PED0000103,64,PR0003,6,2026-08-17
PED0000104,407,PR0110,5,2026-09-01
PED0000105,267,PR0025,3,2026-06-24
PED0000106,515,PR0049,3,2026-06-28
PED0000107,372,PR0040,5,2026-07-20
PED0000108,69,PR0049,2,2026-07-24
PED0000109,778,PR0092,6,2026-09-04
PED0000110,447,PR0086,5,2026-06-05
PED0000111,860,PR0072,5,2026-06-26
PED0000112,25,PR0076,2,2026-09-04
PED0000113,265,PR0088,4,2026-08-04
PED0000114,817,PR0023,5,2026-08-10
PED0000115,178,PR0048,1,2026-06-27
PED0000116,82,PR0013,2,2026-08-05
PED0000117,369,PR0085,4,2026-07-09
PED0000118,763,PR0053,3,2026-08-16
PED0000119,426,PR0077,5,2026-06-10
PED0000120,479,PR0068,3,2026-06-30
PED0000121,572,PR0033,6,2026-08-07
PED0000122,263,PR0017,2,2026-08-03
PED0000123,61,PR0117,3,2026-08-28
PED0000124,65,PR0036,1,2026-08-24
PED0000125,930,PR0014,2,2026-06-02
PED0000126,703,PR0037,2,2026-06-10
PED0000127,8,PR0109,5,2026-07-08
PED0000128,686,PR0032,3,2026-09-09
PED0000129,526,PR0119,2,2026-07-21
PED0000130,936,PR0056,2,2026-09-02
PED0000131,447,PR0104,4,2026-06-07
PED0000132,990,PR0079,5,2026-09-10
PED0000133,793,PR0006,6,2026-06-07
PED0000134,532,PR0062,1,2026-08-24
PED0000135,805,PR0051,6,2026-09-01
PED0000136,767,PR0025,3,2026-07-01
PED0000137,626,PR0066,5,2026-07-02
PED0000138,811,PR0013,1,2026-08-01
PED0000139,588,PR0084,4,2026-08-15
PED0000140,635,PR0099,-1,2026-06-13
PED0000141,227,PR0012,-1,2026-06-25
PED0000142,183,PR0058,5,2026-08-19
PED0000143,422,PR0079,1,2026-08-24
PED0000144,990,PR0008,6,2026-06-17
PED0000145,300,PR0047,5,2026-09-02
PED0000146,244,PR0031,6,2026-08-31
PED0000147,686,PR0005,6,2026-08-31
PED0000148,350,PR0097,2,2026-06-26
PED0000149,999999,PR0054,3,2026-08-10
PED0000150,415,PR0091,5,2026-06-17
PED0000151,960,PR0071,2,2026-06-21
PED0000152,180,PR0106,0,2026-06-08
PED0000153,60,PR0120,1,2026-07-22
PED0000154,932,PR0073,6,2026-08-14
PED0000155,215,PR0043,2,2026-06-21
PED0000156,616,PR0051,3,2026-06-20
PED0000157,153,PR0100,3,2026-06-30
PED0000158,627,PR0052,3,2026-06-21
PED0000159,260,PR0063,5,2026-08-27
PED0000160,636,PR0024,6,2026-06-18
PED0000161,887,PR0119,4,2026-06-30
PED0000162,405,PR0079,6,2026-07-03
PED0000163,557,PR0040,1,2026-06-22
PED0000164,983,PR0071,6,2026-09-07
PED0000165,970,PR0049,1,2026-06-23
PED0000166,801,PR0019,1,2026-07-22
PED0000167,16,PR0105,1,2026-07-30
PED0000168,593,PR0107,2,2026-06-28
PED0000169,751,PR0101,6,2026-07-20
PED0000170,825,PR0045,2,2026-06-18
PED0000171,248,PR0031,5,2026-07-21
PED0000172,372,PR0006,3,2026-06-02
PED0000173,195,PR0088,1,2026-07-17
PED0000174,638,PR0040,3,2026-07-09
PED0000175,477,PR0108,2,2026-07-07
PED0000176,143,PR0105,2,2026-06-12
PED0000177,244,PR_INEXISTENTE,4,2026-09-13
PED0000178,227,PR0111,5,2026-06-03
PED0000179,91,PR0017,4,2026-06-16
PED0000180,975,PR0059,2,2026-06-11
PED0000181,434,PR0057,5,2026-09-11
PED0000182,731,PR0115,5,2026-07-04
PED0000183,93,PR0079,2,2026-07-16
PED0000184,583,PR0106,6,2026-08-18
PED0000185,263,PR0072,6,2026-06-06
PED0000186,731,PR0100,4,2026-06-08
PED0000187,965,PR0103,2,2026-06-20
PED0000188,815,PR0104,3,2026-08-11
PED0000189,233,PR0050,3,2026-09-11
PED0000190,508,PR0046,2,2026-08-05
PED0000191,641,PR0119,2,2026-08-31
PED0000192,632,PR0091,-1,2026-09-01
PED0000193,962,PR0111,1,2026-06-30
PED0000194,970,PR0070,5,2026-06-20
PED0000195,831,PR0112,1,2026-06-17
PED0000196,5,PR0087,3,2026-08-23
PED0000197,214,PR0090,3,2026-08-10
PED0000198,585,PR0022,1,2026-08-30
PED0000199,6,PR0069,5,2026-07-24
PED0000200,99,PR0088,6,2026-09-11
PED0000201,414,PR0092,4,2026-09-02
PED0000202,106,PR0115,5,2026-08-24
PED0000203,896,PR0040,2,2026-08-24
PED0000204,778,PR0037,6,2026-06-13
PED0000205,307,PR0117,5,2026-08-18
PED0000206,415,PR0119,3,2026-09-08
PED0000207,509,PR0022,5,2026-07-01
PED0000208,61,PR0046,6,2026-08-25
PED0000209,35,PR0114,4,2026-07-07
PED0000210,664,PR0024,2,2026-06-23
PED0000211,309,PR0094,2,2026-08-16
PED0000212,126,PR0014,2,2026-06-18
PED0000213,33,PR0022,2,2026-07-21
PED0000214,620,PR0095,6,2026-09-07
PED0000215,267,PR0073,2,2026-06-17
PED0000216,811,PR0067,6,2026-06-17
PED0000217,588,PR0103,2,2026-09-08
PED0000218,813,PR0037,3,2026-08-21
PED0000219,349,PR0061,4,2026-07-19
PED0000220,712,PR0074,1,2026-07-13
PED0000221,423,PR0089,2,2026-09-10
PED0000222,182,PR0040,2,2026-08-15
PED0000223,698,PR0077,1,2026-09-04
PED0000224,855,PR0054,5,2026-06-10
PED0000225,1000,PR0066,4,2026-07-26
PED0000226,588,PR0104,6,2026-08-16
PED0000227,652,PR0048,6,2026-06-04
PED0000228,2,PR0081,3,2026-07-24
PED0000229,222,PR0114,5,2026-06-06
PED0000230,919,PR0092,1,2026-09-03
PED0000231,994,PR0119,3,2026-08-11
PED0000232,461,PR0071,4,2026-06-20
PED0000233,956,PR0034,3,2026-07-25
PED0000234,382,PR0119,5,2026-06-12
PED0000235,194,PR0078,6,2026-08-24
PED0000236,641,PR0029,3,2026-06-21
PED0000237,937,PR0039,2,2026-08-03
PED0000238,388,PR0032,4,2026-06-09
PED0000239,502,PR0101,6,2026-06-17
PED0000240,35,PR0012,6,2026-09-11
PED0000241,699,PR0089,5,2026-07-11
PED0000242,388,PR0067,2,2026-06-13
PED0000243,860,PR0009,2,2026-08-13
PED0000244,37,PR0074,4,2026-06-22
PED0000245,983,PR0091,3,2026-08-01
PED0000246,414,PR0088,4,2026-08-25
PED0000247,863,PR0064,6,2026-08-11
PED0000248,233,PR0041,4,2026-06-26
PED0000249,515,PR0020,3,2026-06-25
PED0000250,738,PR0002,6,2026-06-24
PED0000251,182,PR0044,3,2026-08-06
PED0000252,930,PR_INEXISTENTE,4,2026-08-10
PED0000253,82,PR0005,1,2026-07-25
PED0000254,586,PR0120,4,2026-07-12
PED0000255,270,PR0071,3,2026-06-07
PED0000256,884,PR0036,1,2026-08-27
PED0000257,61,PR0116,2,2026-08-09
PED0000258,979,PR0023,5,2026-08-07
PED0000259,909,PR0115,2,2026-06-11
PED0000260,464,PR0034,1,2026-07-01
PED0000261,624,PR0046,1,2026-07-02
PED0000262,998,PR0052,1,2026-08-02
PED0000263,372,PR0120,3,2026-08-22
PED0000264,126,PR0031,3,2026-08-30
PED0000265,532,PR0117,4,2026-07-25
PED0000266,703,PR0042,4,2026-07-09
PED0000267,882,PR0035,4,2026-07-13
PED0000268,254,PR0077,6,2026-08-17
PED0000269,5,PR0084,2,2026-07-04
PED0000270,254,PR0042,5,2026-07-14
PED0000271,214,PR0017,1,2026-08-22
PED0000272,820,PR0048,6,2026-07-28
PED0000273,624,PR0065,3,2026-07-20
PED0000274,856,PR0005,3,2026-08-17
PED0000275,778,PR0010,1,2026-07-01
PED0000276,270,PR0111,4,2026-06-07
PED0000277,415,PR0005,3,2026-08-22
PED0000278,324,PR0049,6,2026-07-18
PED0000279,6,PR0092,2,2026-07-05
PED0000280,309,PR0040,3,2026-06-10
PED0000281,40,PR0060,0,2026-09-06
PED0000282,751,PR0011,5,2026-08-16
PED0000283,540,PR0096,5,2026-06-29
PED0000284,441,PR0077,4,2026-08-03
PED0000285,366,PR0103,6,2026-07-19
PED0000286,820,PR0104,2,2026-07-05
PED0000287,948,PR0043,5,2026-07-03
PED0000288,414,PR0005,4,2026-06-09
PED0000289,154,PR0042,3,2026-09-11
PED0000290,369,PR0018,2,2026-09-06
PED0000291,480,PR0064,4,2026-08-31
PED0000292,213,PR0018,1,2026-07-04
PED0000293,127,PR0111,5,2026-09-13
PED0000294,25,PR0073,2,2026-06-29
PED0000295,844,PR0031,3,2026-08-26
PED0000296,996,PR0111,2,2026-06-11
PED0000297,776,PR0093,3,2026-07-03
PED0000298,178,PR0053,3,2026-07-31
PED0000299,735,PR0018,2,2026-09-10
PED0000300,572,PR0042,6,2026-06-28
PED0000301,108,PR0071,5,2026-07-16
PED0000302,922,PR0092,3,2026-08-28
PED0000303,353,PR0032,1,2026-07-20
PED0000304,127,PR0090,6,2026-08-11
PED0000305,248,PR0034,-1,2026-07-14
PED0000306,630,PR0030,4,2026-06-01
PED0000307,617,PR0054,4,2026-06-30
PED0000308,694,PR0020,1,2026-07-30
PED0000309,566,PR0049,3,2026-06-03
PED0000310,625,PR0043,2,2026-06-25
PED0000311,770,PR0034,4,2026-09-09
PED0000312,858,PR0094,6,2026-06-02
PED0000313,672,PR0040,4,2026-06-26
PED0000314,423,PR0084,4,2026-08-05
PED0000315,45,PR0087,5,2026-07-30
PED0000316,256,PR0080,0,2026-06-22
PED0000317,937,PR0033,1,2026-06-07
PED0000318,19,PR0100,2,2026-09-03
PED0000319,813,PR0029,2,2026-07-28
PED0000320,629,PR0034,5,2026-07-31
PED0000321,968,PR0105,3,2026-06-07
PED0000322,345,PR0041,5,2026-06-22
PED0000323,154,PR0084,3,2026-06-08
PED0000324,215,PR0006,6,2026-09-11
PED0000325,570,PR0074,5,2026-08-20
PED0000326,994,PR0105,1,2026-07-28
PED0000327,938,PR0086,6,2026-08-11
PED0000328,636,PR0070,6,2026-06-18
PED0000329,121,PR0102,1,2026-09-12
PED0000330,165,PR0036,3,2026-07-25
PED0000331,301,PR0046,6,2026-07-25
PED0000332,467,PR0009,6,2026-09-09
PED0000333,419,PR0084,3,2026-06-11
PED0000334,667,PR0087,4,2026-07-15
PED0000335,294,PR0091,1,2026-06-10
PED0000336,41,PR0090,4,2026-07-15
PED0000337,435,PR0016,4,2026-06-29
PED0000338,815,PR0080,3,2026-07-19
PED0000339,620,PR0092,2,2026-08-13
PED0000340,423,PR0025,5,2026-06-30
PED0000341,30,PR0058,3,2026-06-06
PED0000342,699,PR0110,2,2026-06-17
PED0000343,610,PR0050,3,2026-08-15
PED0000344,663,PR0091,3,2026-07-31
PED0000345,553,PR0064,2,2026-09-11
PED0000346,484,PR0079,4,2026-09-02
PED0000347,530,PR0076,6,2026-06-17
PED0000348,74,PR0079,5,2026-08-17
PED0000349,999999,PR0094,2,2026-06-10
PED0000350,804,PR0109,3,2026-06-11
PED0000351,236,PR0036,4,2026-08-23
PED0000352,813,PR0112,5,2026-07-13
PED0000353,256,PR0076,5,2026-09-13
PED0000354,526,PR0072,3,2026-06-01
PED0000355,825,PR0040,2,2026-07-23
PED0000356,994,PR0051,4,2026-07-03
PED0000357,100,PR0079,1,2026-09-12
PED0000358,896,PR0044,5,2026-08-10
PED0000359,415,PR0035,6,2026-08-21
PED0000360,876,PR0099,5,2026-07-01
PED0000361,464,PR0050,3,2026-09-02
PED0000362,419,PR0078,5,2026-08-28
PED0000363,769,PR0004,4,2026-08-22
PED0000364,626,PR0010,4,2026-07-21
PED0000365,571,PR0102,6,2026-09-05
PED0000366,538,PR0018,2,2026-08-10
PED0000367,435,PR0096,5,2026-06-07
PED0000368,657,PR_INEXISTENTE,5,2026-09-01
PED0000369,739,PR0058,0,2026-06-03
PED0000370,36,PR0107,1,2026-08-11
PED0000371,862,PR0052,5,2026-06-27
PED0000372,407,PR0115,2,2026-09-03
PED0000373,825,PR0029,6,2026-08-16
PED0000374,253,PR0052,5,2026-08-24
PED0000375,794,PR0047,3,2026-08-13
PED0000376,40,PR0095,3,2026-07-30
PED0000377,522,PR0006,1,2026-08-30
PED0000378,8,PR0100,3,2026-07-02
PED0000379,860,PR0003,1,2026-07-26
PED0000380,463,PR0038,0,2026-07-02
PED0000381,932,PR0072,4,2026-06-12
PED0000382,762,PR0018,2,2026-08-31
PED0000383,178,PR0059,5,2026-07-23
PED0000384,806,PR0120,1,2026-06-06
PED0000385,467,PR0099,4,2026-08-26
PED0000386,261,PR0004,1,2026-09-07
PED0000387,996,PR0072,1,2026-08-09
PED0000388,847,PR0072,2,2026-07-05
PED0000389,847,PR0009,2,2026-08-30
PED0000390,387,PR0079,5,2026-08-17
PED0000391,154,PR0063,6,2026-06-30
PED0000392,405,PR0082,5,2026-07-05
PED0000393,657,PR0036,5,2026-09-12
PED0000394,629,PR0031,4,2026-09-09
PED0000395,494,PR0089,3,2026-08-11
PED0000396,845,PR0087,2,2026-06-04
PED0000397,214,PR0020,6,2026-06-25
PED0000398,586,PR0026,0,2026-07-08
PED0000399,730,PR0071,4,2026-07-27
PED0000400,862,PR0100,1,2026-08-31
PED0000401,583,PR0025,3,2026-08-29
PED0000402,844,PR0027,5,2026-06-29
PED0000403,309,PR0097,3,2026-06-12
PED0000404,629,PR0084,4,2026-06-29
PED0000405,229,PR0109,5,2026-06-25
PED0000406,388,PR0095,1,2026-09-03
PED0000407,858,PR0115,6,2026-06-02
PED0000408,441,PR0023,5,2026-08-27
PED0000409,464,PR0033,3,2026-08-08
PED0000410,376,PR0029,5,2026-06-12
PED0000411,183,PR0007,1,2026-08-11
PED0000412,618,PR0094,2,2026-07-31
PED0000413,177,PR0080,1,2026-06-01
PED0000414,274,PR0011,4,2026-06-24
PED0000415,769,PR0024,6,2026-07-07
PED0000416,892,PR0023,4,2026-06-23
PED0000417,986,PR0049,5,2026-07-31
PED0000418,626,PR0055,1,2026-08-04
PED0000419,806,PR0035,6,2026-06-18
PED0000420,99,PR0112,2,2026-06-14
PED0000421,476,PR0026,4,2026-08-08
PED0000422,672,PR0068,5,2026-07-20
PED0000423,71,PR0053,6,2026-06-28
PED0000424,71,PR0047,6,2026-06-27
PED0000425,998,PR0100,4,2026-06-05
PED0000426,197,PR0118,4,2026-08-29
PED0000427,850,PR0001,3,2026-08-28
PED0000428,270,PR_INEXISTENTE,4,2026-07-29
PED0000429,959,PR0015,5,2026-07-07
PED0000430,561,PR0053,4,2026-06-23
PED0000431,423,PR0075,4,2026-07-03
PED0000432,244,PR0050,3,2026-09-06
PED0000433,435,PR0038,2,2026-06-10
PED0000434,983,PR0038,1,2026-08-26
PED0000435,265,PR0036,3,2026-07-02
PED0000436,324,PR0040,3,2026-06-28
PED0000437,377,PR0045,4,2026-08-25
PED0000438,948,PR0083,6,2026-09-09
PED0000439,511,PR0012,5,2026-09-13
PED0000440,443,PR0005,5,2026-06-29
PED0000441,561,PR0063,4,2026-08-02
PED0000442,172,PR0082,6,2026-07-01
PED0000443,233,PR0032,6,2026-06-21
PED0000444,566,PR0025,1,2026-07-11
PED0000445,860,PR0075,4,2026-06-07
PED0000446,165,PR0047,4,2026-06-18
PED0000447,959,PR0089,6,2026-08-02
PED0000448,479,PR0018,4,2026-08-12
PED0000449,322,PR0015,1,2026-06-29
PED0000450,301,PR0067,2,2026-07-29
PED0000451,106,PR0048,1,2026-08-20
PED0000452,417,PR0088,2,2026-09-02
PED0000453,140,PR0061,1,2026-07-30
PED0000454,33,PR0043,5,2026-06-26
PED0000455,383,PR0020,3,2026-08-14
PED0000456,222,PR0020,5,2026-06-18
PED0000457,106,PR0091,6,2026-06-15
PED0000458,698,PR0028,4,2026-07-08
PED0000459,318,PR0061,3,2026-07-05
PED0000460,901,PR0099,2,2026-06-16
PED0000461,190,PR0108,5,2026-06-06
PED0000462,318,PR0033,4,2026-09-08
PED0000463,345,PR0014,5,2026-08-11
PED0000464,183,PR0093,1,2026-08-15
PED0000465,17,PR0083,1,2026-06-07
PED0000466,294,PR0040,1,2026-08-23
PED0000467,508,PR0072,5,2026-07-09
PED0000468,463,PR0023,4,2026-08-18
PED0000469,921,PR0085,2,2026-07-22
PED0000470,920,PR0088,2,2026-06-26
PED0000471,326,PR0036,4,2026-06-28
PED0000472,956,PR0057,6,2026-06-15
PED0000473,262,PR0041,6,2026-08-27
PED0000474,503,PR0004,3,2026-07-16
PED0000475,540,PR0016,5,2026-08-21
PED0000476,383,PR0116,1,2026-08-27
PED0000477,181,PR0055,6,2026-06-18
PED0000478,500,PR0018,1,2026-07-05
PED0000479,396,PR0006,3,2026-06-14
PED0000480,314,PR0043,5,2026-06-02
PED0000481,572,PR0118,6,2026-09-12
PED0000482,421,PR0047,2,2026-08-09
PED0000483,314,PR0120,4,2026-07-18
PED0000484,904,PR0059,2,2026-06-22
PED0000485,267,PR0092,1,2026-08-02
PED0000486,267,PR0095,3,2026-07-27
PED0000487,387,PR0004,4,2026-06-24
PED0000488,855,PR0001,2,2026-06-02
PED0000489,648,PR0111,6,2026-07-20
PED0000490,936,PR0112,4,2026-07-24
PED0000491,331,PR0016,3,2026-08-23
PED0000492,641,PR0078,3,2026-07-12
PED0000493,422,PR0111,3,2026-06-11
PED0000494,296,PR0115,1,2026-09-01
PED0000495,572,PR0036,4,2026-07-14
PED0000496,99,PR0099,5,2026-08-15
PED0000497,326,PR0078,3,2026-06-05
PED0000498,462,PR0112,3,2026-06-04
PED0000499,807,PR0018,6,2026-06-03
PED0000500,994,PR0073,4,2026-08-22
PED0000501,377,PR0003,2,2026-06-26
PED0000502,281,PR0043,1,2026-08-23
PED0000503,626,PR0002,5,2026-09-08
PED0000504,58,PR0054,4,2026-08-09
PED0000505,769,PR0098,4,2026-09-12
PED0000506,687,PR0079,2,2026-09-06
PED0000507,648,PR0039,2,2026-08-15
PED0000508,222,PR0052,3,2026-08-24
PED0000509,779,PR0045,5,2026-08-03
PED0000510,202,PR0088,2,2026-06-23
PED0000511,563,PR0032,4,2026-06-11
PED0000512,999999,PR0012,6,2026-07-11
PED0000513,227,PR0061,2,2026-07-20
PED0000514,109,PR0100,2,2026-07-07
PED0000515,341,PR0058,2,2026-06-11
PED0000516,5,PR0025,6,2026-07-24
PED0000517,91,PR0006,4,2026-07-23
PED0000518,711,PR0114,6,2026-09-09
PED0000519,395,PR0092,6,2026-09-09
PED0000520,548,PR0019,3,2026-08-04
PED0000521,657,PR0009,1,2026-08-29
PED0000522,99,PR0016,2,2026-07-03
PED0000523,846,PR0046,4,2026-09-10
PED0000524,195,PR0098,3,2026-09-07
PED0000525,689,PR0020,1,2026-06-14
PED0000526,922,PR_INEXISTENTE,6,2026-08-13
PED0000527,731,PR0001,2,2026-07-19
PED0000528,557,PR0089,4,2026-06-28
PED0000529,212,PR0034,6,2026-07-14
PED0000530,806,PR0116,4,2026-09-04
PED0000531,2,PR0058,5,2026-09-06
PED0000532,434,PR0033,1,2026-07-07
PED0000533,813,PR0030,5,2026-07-19
PED0000534,331,PR0100,0,2026-07-25
PED0000535,64,PR0049,6,2026-08-17
PED0000536,613,PR0043,1,2026-07-21
PED0000537,406,PR0089,2,2026-07-12
PED0000538,731,PR0065,1,2026-09-05
PED0000539,96,PR0080,6,2026-07-10
PED0000540,699,PR0054,0,2026-06-28
PED0000541,177,PR0008,4,2026-07-05
PED0000542,175,PR0001,3,2026-07-05
PED0000543,44,PR0005,5,2026-07-29
PED0000544,77,PR0069,0,2026-08-09
PED0000545,948,PR0062,2,2026-06-15
PED0000546,434,PR0090,5,2026-09-02
PED0000547,767,PR0108,2,2026-06-27
PED0000548,663,PR0021,2,2026-06-13
PED0000549,784,PR_INEXISTENTE,1,2026-08-10
PED0000550,977,PR0112,3,2026-06-23
PED0000551,366,PR0074,4,2026-08-18
PED0000552,778,PR0064,5,2026-09-08
PED0000553,376,PR0022,6,2026-08-12
PED0000554,331,PR0022,4,2026-08-21
PED0000555,636,PR0003,3,2026-07-22
PED0000556,948,PR0078,2,2026-07-07
PED0000557,601,PR0052,6,2026-08-04
PED0000558,82,PR0024,3,2026-07-08
PED0000559,449,PR0017,5,2026-09-01
PED0000560,999999,PR0008,4,2026-07-20
PED0000561,287,PR0077,6,2026-07-23
PED0000562,74,PR0083,6,2026-08-10
PED0000563,779,PR0076,5,2026-06-20
PED0000564,999999,PR0014,4,2026-07-29
PED0000565,350,PR0005,1,2026-08-19
PED0000566,667,PR_INEXISTENTE,1,2026-08-21
PED0000567,91,PR0091,4,2026-06-24
PED0000568,172,PR0089,5,2026-06-06
PED0000569,407,PR0036,5,2026-06-21
PED0000570,477,PR0007,2,2026-08-25
PED0000571,736,PR0039,4,2026-06-28
PED0000572,687,PR0098,0,2026-06-07
PED0000573,393,PR0018,1,2026-08-02
PED0000574,446,PR_INEXISTENTE,3,2026-09-01
PED0000575,443,PR0056,6,2026-06-24
PED0000576,899,PR0017,2,2026-06-05
PED0000577,387,PR0113,2,2026-06-15
PED0000578,405,PR0063,-1,2026-06-14
PED0000579,930,PR0081,5,2026-06-22
PED0000580,545,PR0012,2,2026-06-19
PED0000581,536,PR0045,5,2026-08-06
PED0000582,1000,PR0076,2,2026-06-24
PED0000583,451,PR0078,3,2026-07-28
PED0000584,260,PR0008,4,2026-07-13
PED0000585,553,PR0073,1,2026-08-08
PED0000586,626,PR0114,5,2026-08-08
PED0000587,107,PR0095,5,2026-08-02
PED0000588,37,PR0025,6,2026-09-02
PED0000589,309,PR0110,0,2026-06-21
PED0000590,621,PR0082,3,2026-07-26
PED0000591,423,PR0007,6,2026-07-12
PED0000592,824,PR0016,1,2026-07-26
PED0000593,699,PR0111,3,2026-06-15
PED0000594,635,PR0026,3,2026-07-04
PED0000595,82,PR0012,3,2026-09-07
PED0000596,613,PR0055,-1,2026-08-24
PED0000597,465,PR0064,5,2026-07-15
PED0000598,178,PR0069,2,2026-06-12
PED0000599,706,PR0080,6,2026-08-08
PED0000600,767,PR0120,6,2026-07-02
PED0000601,143,PR0092,2,2026-07-05
PED0000602,200,PR0004,6,2026-06-11
PED0000603,60,PR0011,2,2026-07-01
PED0000604,44,PR0001,1,2026-06-23
PED0000605,309,PR0048,3,2026-06-04
PED0000606,197,PR0043,-1,2026-08-01
PED0000607,876,PR0113,6,2026-09-10
PED0000608,511,PR0044,4,2026-06-14
PED0000609,825,PR0004,-1,2026-06-06
PED0000610,904,PR0107,2,2026-06-11
PED0000611,849,PR0032,6,2026-07-28
PED0000612,407,PR0110,4,2026-08-26
PED0000613,998,PR0093,1,2026-07-03
PED0000614,260,PR0106,1,2026-06-13
PED0000615,405,PR0099,2,2026-06-11
PED0000616,725,PR0018,1,2026-08-03
PED0000617,423,PR0076,2,2026-07-08
PED0000618,74,PR0050,6,2026-07-07
PED0000619,70,PR0076,2,2026-06-26
PED0000620,484,PR0090,4,2026-09-03
PED0000621,815,PR0061,6,2026-07-10
PED0000622,562,PR0038,2,2026-08-14
PED0000623,395,PR0110,5,2026-08-17
PED0000624,446,PR0080,3,2026-06-07
PED0000625,197,PR0107,2,2026-06-27
PED0000626,213,PR0029,6,2026-09-03
PED0000627,699,PR0101,4,2026-09-01
PED0000628,511,PR0039,3,2026-07-14
PED0000629,326,PR0056,5,2026-06-17
PED0000630,571,PR0104,6,2026-07-02
